# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 15
n_points  = 482

[ECHELLE 01]
  t             = 0.664769
  n_valid       = 482/482
  mean(angle°)  = 0.2233
  std(angle°)   = 0.4228
  valeurs (degrés) :
    p000272    0.0040°
    p000273    0.0042°
    p000274    0.0042°
    p000275    0.0041°
    p000276    0.0042°
    p000277    0.0043°
    p000278    0.0041°
    p000279    0.0041°
    p000280    0.0042°
    p000281    0.0041°
    p000282    0.0042°
    p000283    0.0042°
    p000284    0.0042°
    p000285    0.0041°
    p000286    0.0042°
    p000287    0.0041°
    p000288    0.0042°
    p000289    0.0097°
    p000290    0.0098°
    p000291    0.0098°
    p000292    0.0099°
    p000293    0.0098°
    p000294    0.0097°
    p000295    0.0099°
    p000296    0.0100°
    p000297    0.0097°
    p000298    0.0098°
    p000299    0.0099°
    p000300    0.0098°
    p000301    0.0098°
    p000302    0.0100°
    p000303    0.0099°
    p000304    0.0099°
    p000305    0.0097°
    p000306    0.0099°
    p000307    0.0099°
    p000308    0.0098°
    p000309    0.0099°
    p000310    0.0099°
    p000311    0.0098°
    p000312    0.0099°
    p000313    0.0097°
    p000314    0.0098°
    p000315    0.0099°
    p000316    0.0098°
    p000317    0.0099°
    p000318    0.0099°
    p000319    0.0099°
    p000320    0.0099°
    p000321    0.0205°
    p000322    0.0205°
    p000323    0.0205°
    p000324    0.0205°
    p000325    0.0206°
    p000326    0.0205°
    p000327    0.0203°
    p000328    0.0206°
    p000329    0.0206°
    p000330    0.0205°
    p000331    0.0206°
    p000332    0.0204°
    p000333    0.0205°
    p000334    0.0205°
    p000335    0.0205°
    p000336    0.0206°
    p000337    0.0206°
    p000338    0.0204°
    p000339    0.0205°
    p000340    0.0206°
    p000341    0.0205°
    p000342    0.0205°
    p000343    0.0205°
    p000344    0.0206°
    p000345    0.0206°
    p000346    0.0204°
    p000347    0.0205°
    p000348    0.0205°
    p000349    0.0205°
    p000350    0.0204°
    p000351    0.0205°
    p000352    0.0207°
    p000353    0.0494°
    p000354    0.0493°
    p000355    0.0494°
    p000356    0.0494°
    p000357    0.0494°
    p000358    0.0494°
    p000359    0.0494°
    p000360    0.0493°
    p000361    0.0494°
    p000362    0.0493°
    p000363    0.0494°
    p000364    0.0494°
    p000365    0.0492°
    p000366    0.0494°
    p000367    0.0494°
    p000368    0.0493°
    p000369    0.0494°
    p000370    0.0493°
    p000371    0.0493°
    p000372    0.0494°
    p000373    0.0494°
    p000374    0.0493°
