# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 15
n_points  = 40062

[ECHELLE 01]
  t             = 0.880130
  n_valid       = 39314/40062
  mean(angle°)  = 19.2408
  std(angle°)   = 26.2157
  valeurs (degrés) :
    p000272    0.3246°
    p000273    0.4064°
    p000274    0.8416°
    p000275    0.6430°
    p000276    1.0219°
    p000277    1.7555°
    p000278    1.6794°
    p000279    1.3976°
    p000280    1.0387°
    p000281    1.9584°
    p000282    5.8682°
    p000283    5.9448°
    p000284    5.9455°
    p000285    5.1607°
    p000286    0.7247°
    p000287    0.2113°
    p000288    1.6007°
    p000289    1.4498°
    p000290    0.4006°
    p000291    0.2688°
    p000292    6.4718°
    p000293   15.7699°
    p000294   20.6592°
    p000295    8.1560°
    p000296    7.4861°
    p000297    1.4033°
    p000298   17.3090°
    p000299   18.8037°
    p000300    8.0012°
    p000301    1.4893°
    p000302    0.7817°
    p000303    0.3774°
    p000304    0.8980°
    p000305    0.6150°
    p000306    3.2750°
    p000307    4.2662°
    p000308    1.3111°
    p000309    1.3099°
    p000310    3.1400°
    p000311    1.2872°
    p000312    0.5763°
    p000313    0.5466°
    p000314    0.4655°
    p000315    3.8310°
    p000316    1.3359°
    p000317    0.5791°
    p000318    0.4879°
    p000319    0.4739°
    p000320    0.3854°
    p000321    0.3125°
    p000322    0.7031°
    p000323    0.2957°
    p000324    0.9860°
    p000325    1.1211°
    p000326    0.7413°
    p000327    0.5693°
    p000328    7.2906°
    p000329   11.8511°
    p000330   15.8989°
    p000331    6.7733°
    p000332    5.4019°
    p000333    0.6825°
    p000334    9.3270°
    p000335   13.8052°
    p000336    5.7533°
    p000337    0.5927°
    p000338    0.4729°
    p000339    0.1293°
    p000340    0.4518°
    p000341    0.5392°
    p000342    2.7298°
    p000343    3.4975°
    p000344    0.8685°
    p000345    0.7351°
    p000346    3.5914°
    p000347    1.0584°
    p000348    0.3301°
    p000349    0.2568°
    p000350    0.2048°
    p000351    3.5054°
    p000352    1.2336°
    p000353    0.3946°
    p000354    0.2638°
    p000355    0.2654°
    p000356    0.3434°
    p000357    0.5944°
    p000358    2.0191°
    p000359    2.3478°
    p000360    1.2411°
    p000361    2.5823°
    p000362    1.8264°
    p000363    1.0271°
    p000364    0.5832°
    p000365    0.9485°
    p000366    0.9018°
    p000367    2.2980°
    p000368    0.8406°
    p000369    0.3523°
    p000370    0.7223°
    p000371    0.8752°
    p000372    0.5065°
    p000373    0.5991°
    p000374    1.7069°
    p000375    2.6072°
    p000376    0.5496°
    p000377    0.8142°
    p000378    2.7908°
    p000379    2.6067°
    p000380    0.8478°
    p000381    0.3966°
    p000382    3.1933°
    p000383    1.8016°
    p000384    0.8866°
    p000385    1.0505°
    p000386    0.7872°
    p000387    4.9582°
    p000388    3.4809°
    p000389    5.9020°
    p000390    3.2238°
    p000391    5.1520°
    p000392    2.9041°
    p000393    1.1288°
    p000394    0.5786°
    p000395    3.5038°
    p000396    1.2643°
    p000397    1.2574°
    p000398    0.4064°
    p000399    2.8736°
    p000400    0.5245°
    p000401    0.4630°
    p000402    0.6482°
    p000403    2.8596°
    p000404    0.9623°
    p000405    0.8509°
    p000406    0.6078°
    p000407    0.9503°
    p000408    1.2618°
    p000409    1.0204°
    p000410    0.8010°
    p000411    1.8809°
    p000412    1.0843°
    p000413    0.9465°
    p000414    0.2248°
    p000415    2.2761°
    p000416    0.2632°
    p000417    2.4603°
    p000418    0.2750°
    p000419    1.4131°
    p000420    0.4292°
    p000421    0.2560°
    p000422    0.1112°
    p000423    0.1039°
    p000424    0.2324°
    p000425    0.3792°
    p000426    3.4008°
    p000427    2.8804°
    p000428   12.8836°
    p000429   12.1021°
    p000430    2.8025°
    p000431    0.9929°
    p000432   12.1852°
    p000433    7.9782°
    p000434    1.8764°
    p000435    1.4248°
    p000436    1.4713°
    p000437    0.4034°
    p000438    0.5689°
    p000439    1.1320°
    p000440    1.0334°
    p000441    0.3463°
    p000442    1.4911°
    p000443    0.5314°
    p000444    1.9190°
    p000445    0.8046°
    p000446    0.5338°
    p000447    0.8670°
    p000448    1.4350°
    p000449    1.3060°
    p000450   14.6529°
    p000451   11.2227°
    p000452   17.5382°
    p000453    3.3227°
    p000454    1.5320°
    p000455    2.1542°
    p000456   17.8811°
    p000457    5.5960°
    p000458   11.4709°
    p000459   12.9741°
    p000460   19.7707°
    p000461   13.9809°
    p000462    9.6924°
    p000463    6.3043°
    p000464   10.0440°
    p000465    6.0694°
    p000466   10.1513°
    p000467   10.4510°
    p000468   10.1169°
    p000469    3.1483°
    p000470    4.8082°
    p000471    7.0626°
    p000472    9.9875°
    p000473    3.0253°
    p000474    4.2918°
    p000475    1.6366°
    p000476    4.8437°
    p000477    3.6775°
    p000478    1.4797°
    p000479    4.5317°
    p000480    2.4126°
    p000481    0.9983°
    p000482   12.3392°
    p000483    6.8549°
    p000484   11.4200°
    p000485   12.7489°
    p000486   15.8077°
    p000487   15.3331°
    p000488   11.1379°
    p000489    9.8679°
    p000490    8.4731°
    p000491   13.9607°
    p000492    2.7490°
    p000493    8.9737°
    p000494   19.9180°
    p000495   19.0082°
    p000496   14.0151°
    p000497   15.3897°
    p000498    5.2165°
    p000499    4.5634°
    p000500    5.4704°
    p000501    5.4636°
    p000502    6.5527°
    p000503    8.2807°
    p000504    4.7572°
    p000505    3.7214°
    p000506    5.2050°
    p000507    4.3708°
    p000508    4.7036°
    p000509    6.4134°
    p000510    3.9369°
    p000511    3.1936°
    p000512    6.9384°
    p000513    5.8523°
    p000514    8.2859°
    p000515   11.0396°
    p000516    8.1717°
    p000517    8.6006°
    p000518    3.5676°
    p000519    2.7825°
    p000520    3.6026°
    p000521   13.6473°
    p000522   15.9278°
    p000523   16.2569°
    p000524    3.3511°
    p000525   10.8341°
    p000526   14.7533°
    p000527   19.5349°
    p000528   11.9739°
    p000529   16.2044°
    p000530   24.3208°
    p000531   25.6610°
    p000532   17.4843°
    p000533   17.5880°
    p000534   10.2685°
    p000535    8.8815°
    p000536    7.9379°
    p000537   10.3532°
    p000538    6.2315°
    p000539    7.5886°
    p000540   13.6222°
    p000541   12.7506°
    p000542   13.7815°
    p000543    4.7781°
    p000544    8.2166°
    p000545    2.6947°
    p000546   12.3100°
    p000547   19.3342°
    p000548   16.1449°
    p000549   19.1489°
    p000550   15.7102°
    p000551   26.1791°
    p000552    5.8708°
    p000553   12.6289°
    p000554    7.6332°
    p000555   13.9390°
    p000556   10.8621°
    p000557   14.0916°
    p000558    9.6571°
    p000559   20.5405°
    p000560   17.7504°
    p000561   10.7921°
    p000562   18.5927°
    p000563   11.3864°
    p000564    5.5975°
    p000565    1.3391°
    p000566    4.7765°
    p000567   15.4358°
    p000568    7.1376°
    p000569    2.1573°
    p000570    0.4016°
    p000571    2.0735°
    p000572    0.9928°
    p000573    8.7524°
    p000574    6.1659°
    p000575    2.2227°
    p000576   13.0057°
    p000577    6.1202°
    p000578   11.8834°
    p000579   17.6738°
    p000580   16.0791°
    p000581   17.8896°
    p000582   18.9690°
    p000583   22.0049°
    p000584   24.1678°
    p000585   23.2926°
    p000586   17.1698°
    p000587   15.0976°
    p000588   26.0158°
    p000589   25.3056°
    p000590   23.6284°
    p000591   21.1999°
    p000592   21.2388°
    p000593   20.1496°
    p000594   20.4652°
    p000595   15.6993°
    p000596   15.3628°
    p000597   13.7959°
    p000598    8.0385°
    p000599   23.1114°
    p000600   10.9757°
    p000601   24.3131°
    p000602   19.5299°
    p000603   17.2077°
    p000604    9.4628°
    p000605   12.7229°
    p000606   13.6760°
    p000607   16.6220°
    p000608   16.8014°
    p000609   12.8799°
    p000610   17.7898°
    p000611   10.0253°
    p000612    3.3051°
    p000613    0.9415°
    p000614    6.7159°
    p000615   15.4205°
    p000616    5.7618°
    p000617    4.5527°
    p000618    4.8040°
    p000619   10.9080°
    p000620   16.2557°
    p000621   16.7151°
    p000622   10.3277°
    p000623   13.0173°
    p000624   22.7080°
    p000625   18.2323°
    p000626   21.0027°
    p000627   18.5607°
    p000628   17.1345°
    p000629   14.4686°
    p000630   18.8045°
    p000631   16.5958°
    p000632   19.9041°
    p000633   19.5207°
    p000634   19.5187°
    p000635   16.2608°
    p000636   23.1731°
    p000637   20.8543°
    p000638   11.8635°
    p000639   17.8606°
    p000640   17.2217°
    p000641   19.2285°
    p000642   18.5893°
    p000643   13.7724°
    p000644   12.4087°
    p000645   12.6391°
    p000646   10.5509°
    p000647   10.9661°
    p000648   15.8413°
    p000649   10.7122°
    p000650   11.0761°
    p000651    6.0362°
    p000652   14.3961°
    p000653   15.3801°
    p000654   13.4349°
    p000655   10.1195°
    p000656   16.4464°
    p000657   18.4912°
    p000658   18.8158°
    p000659   18.2089°
    p000660   18.0927°
    p000661   14.9903°
    p000662    9.4378°
    p000663   12.1710°
    p000664    6.8773°
    p000665    4.5899°
    p000666    2.9009°
    p000667   14.9092°
    p000668   24.0604°
    p000669   22.4201°
    p000670   14.8763°
    p000671   14.2659°
    p000672   18.5368°
    p000673   16.6589°
    p000674   13.1747°
    p000675   13.7484°
    p000676   17.3541°
    p000677   11.0136°
    p000678    5.8702°
    p000679    7.8644°
    p000680    8.8711°
    p000681   12.9572°
    p000682    8.5665°
    p000683    7.4297°
    p000684    4.6164°
    p000685    4.5709°
    p000686    9.1609°
    p000687   10.8296°
    p000688    7.6529°
    p000689   12.3961°
    p000690   14.5959°
    p000691   11.1290°
    p000692    7.8094°
    p000693   15.5077°
    p000694   17.6885°
    p000695   19.0958°
    p000696   16.3644°
    p000697   12.1677°
    p000698    1.7333°
    p000699    1.4610°
    p000700    1.9719°
    p000701    1.9024°
    p000702    1.0438°
    p000703    0.7527°
    p000704    0.8947°
    p000705    2.1049°
    p000706    1.4098°
    p000707    0.9821°
    p000708    2.1430°
    p000709    2.1382°
    p000710    0.6698°
    p000711    2.1350°
    p000712    2.5450°
    p000713    2.5171°
    p000714   21.9300°
    p000715   27.3811°
    p000716   14.5199°
    p000717   14.6852°
    p000718   22.4923°
    p000719   16.8520°
    p000720    7.7076°
    p000721    4.6571°
    p000722    4.6867°
    p000723   23.2440°
    p000724   17.8015°
    p000725   19.7525°
    p000726   15.8623°
    p000727   12.8776°
    p000728   10.8302°
    p000729    4.9114°
    p000730    2.9990°
    p000731    6.7360°
    p000732    1.4526°
    p000733    1.5737°
    p000734   12.2846°
    p000735   16.4015°
    p000736    4.6187°
    p000737    2.1486°
    p000738    9.8204°
    p000739   15.6015°
    p000740    1.7333°
    p000741    8.0228°
    p000742   10.5465°
    p000743    5.1092°
    p000744    8.1400°
    p000745    1.9895°
    p000746   11.1069°
    p000747   11.2299°
    p000748   13.4409°
    p000749    5.6467°
    p000750    6.1811°
    p000751   10.6637°
    p000752    1.6412°
    p000753    9.3534°
    p000754    2.4509°
    p000755    6.1891°
    p000756    5.6985°
    p000757    6.4847°
    p000758    5.7740°
    p000759    3.8182°
    p000760    9.7097°
    p000761   11.4079°
    p000762   12.5251°
    p000763   10.8319°
    p000764    2.8687°
    p000765    7.3447°
    p000766   13.2158°
    p000767   14.6495°
    p000768   13.3414°
    p000769    6.4286°
    p000770   14.8965°
    p000771   15.0293°
    p000772    8.0792°
    p000773    3.8769°
    p000774    5.6577°
    p000775    9.0424°
    p000776    9.9253°
    p000777    6.5857°
    p000778   14.8343°
    p000779   12.7442°
    p000780   11.9000°
    p000781   11.1176°
    p000782    9.2485°
    p000783    9.5335°
    p000784   11.1158°
    p000785    8.5040°
    p000786    4.5708°
    p000787    7.9260°
    p000788    2.3602°
    p000789    3.1829°
    p000790    8.7977°
    p000791    9.2800°
    p000792    7.0205°
    p000793   10.6225°
    p000794    5.8711°
    p000795   11.7860°
    p000796   10.1097°
    p000797    2.9070°
    p000798   12.8726°
    p000799   10.3449°
    p000800    8.7301°
    p000801    9.0155°
    p000802    4.5643°
    p000803   11.4344°
    p000804    8.5924°
    p000805    6.8740°
    p000806    4.2145°
    p000807    5.0824°
    p000808    1.8686°
    p000809    1.3691°
    p000810    5.7733°
    p000811    1.8996°
    p000812    2.6204°
    p000813    3.2127°
    p000814   12.5942°
    p000815   12.0794°
    p000816   12.1155°
    p000817   25.8115°
    p000818   25.0440°
    p000819   24.1968°
    p000820   11.2846°
    p000821   25.2605°
    p000822   20.1672°
    p000823   20.9296°
    p000824    3.1201°
    p000825    3.2291°
    p000826   21.8920°
    p000827   15.3260°
    p000828    7.5075°
    p000829    4.7150°
    p000830    1.8923°
    p000831    7.7645°
    p000832    4.9925°
    p000833   11.8707°
    p000834    7.4556°
    p000835    6.6986°
    p000836    7.8934°
    p000837   11.9839°
    p000838   14.8556°
    p000839   20.4648°
    p000840   15.5099°
    p000841    4.2502°
    p000842    7.1998°
    p000843    5.7057°
    p000844    2.0812°
    p000845    4.2803°
    p000846    8.8218°
    p000847    5.1960°
    p000848    5.6684°
    p000849    1.2687°
    p000850    6.6593°
    p000851    0.7372°
    p000852    2.3004°
    p000853    0.6680°
    p000854    2.1384°
    p000855    1.2785°
    p000856    1.8408°
    p000857    2.4035°
    p000858    0.2341°
    p000859    0.4302°
    p000860    7.5547°
    p000861    8.5429°
    p000862    6.6790°
    p000863    1.8373°
    p000864    4.8633°
    p000865    2.3424°
    p000866    0.5648°
    p000867    0.6831°
    p000868    1.0250°
    p000869    0.1586°
    p000870    7.1540°
    p000871    5.0879°
    p000872    6.2413°
    p000873    5.9493°
    p000874   10.3463°
    p000875   10.5177°
    p000876   13.6688°
    p000877   11.1010°
    p000878    5.3520°
    p000879   15.7996°
    p000880   13.5298°
    p000881   14.5924°
    p000882   11.3935°
    p000883   12.6536°
    p000884   10.4040°
    p000885    3.9601°
    p000886    1.8135°
    p000887    3.0998°
    p000888    0.8135°
    p000889    6.1412°
    p000890    7.9688°
    p000891    8.8872°
    p000892    1.7586°
    p000893    2.7591°
    p000894    2.0173°
    p000895    4.0696°
    p000896    7.8908°
    p000897   10.3525°
    p000898    4.9895°
    p000899    3.3921°
    p000900    3.7812°
    p000901    6.3701°
    p000902   12.8676°
    p000903   13.9603°
    p000904    9.5876°
    p000905   11.0634°
    p000906    5.0031°
    p000907    7.4752°
    p000908    4.4048°
    p000909    8.4030°
    p000910    7.9211°
    p000911    8.6148°
    p000912    3.2307°
    p000913    8.8760°
    p000914   12.6556°
    p000915   10.2934°
    p000916   10.3820°
    p000917    8.0473°
    p000918    7.6380°
    p000919    6.2144°
    p000920    5.0636°
    p000921    3.4292°
    p000922   17.0379°
    p000923   18.0428°
    p000924   12.5642°
    p000925    5.5370°
    p000926   10.5368°
    p000927    7.6930°
    p000928    4.2751°
    p000929    7.6774°
    p000930    7.7987°
    p000931    1.7147°
    p000932    2.5664°
    p000933    5.3084°
    p000934    7.5907°
    p000935    7.7166°
    p000936    9.6665°
    p000937    8.5131°
    p000938    8.1848°
    p000939    6.0754°
    p000940    4.4547°
    p000941    5.1855°
    p000942    5.5630°
    p000943    7.7133°
    p000944    2.8608°
    p000945    3.0098°
    p000946    2.7001°
    p000947    4.5151°
