# KAPPA — courbure signée (κ)
# Mellado et al. (2012) Eq. 4 : κ = 2·ûq
# κ > 0 : convexe   κ = 0 : plan local   κ < 0 : concave
#
n_scales  = 15
n_points  = 40062

[ECHELLE 01]
  t           = 0.880130
  n_valid     = 39314/40062
  mean(kappa) = +0.429595
  std(kappa)  = 0.788772
  convexe     : 27638  (70.3%)
  concave     : 11676  (29.7%)
  plan (~0)   : 8  (0.0%)
  valeurs :
    p000270  +0.077327
    p000271  +0.013337
    p000272  -0.019763
    p000273  -0.024027
    p000274  +0.000227
    p000275  -0.022065
    p000276  +0.013919
    p000277  +0.103040
    p000278  +0.078355
    p000279  +0.049248
    p000280  +0.016888
    p000281  +0.115213
    p000282  +0.360686
    p000283  +0.367551
    p000284  +0.353036
    p000285  +0.346841
    p000286  -0.042349
    p000287  -0.061836
    p000288  +0.030011
    p000289  +0.025239
    p000290  -0.045331
    p000291  -0.064198
    p000292  +0.379104
    p000293  +0.808715
    p000294  +0.873022
    p000295  +0.439507
    p000296  +0.476772
    p000297  +0.045275
    p000298  +0.892433
    p000299  +0.873887
    p000300  +0.482902
    p000301  +0.074909
    p000302  -0.028035
    p000303  -0.057010
    p000304  -0.003210
    p000305  -0.044818
    p000306  +0.195154
    p000307  +0.195798
    p000308  +0.060627
    p000309  +0.059997
    p000310  +0.191370
    p000311  +0.060846
    p000312  -0.006390
    p000313  -0.009620
    p000314  -0.009411
    p000315  +0.188536
    p000316  +0.064366
    p000317  -0.000427
    p000318  -0.041796
    p000319  -0.047686
    p000320  -0.049677
    p000321  -0.045011
    p000322  +0.014881
    p000323  -0.030961
    p000324  +0.090782
    p000325  +0.095327
    p000326  +0.026502
    p000327  -0.016067
    p000328  +0.463951
    p000329  +0.854025
    p000330  +0.843606
    p000331  +0.422590
    p000332  +0.369380
    p000333  +0.094311
    p000334  +0.819784
    p000335  +0.776366
    p000336  +0.321792
    p000337  +0.090474
    p000338  +0.036790
    p000339  +0.000502
    p000340  +0.051377
    p000341  +0.022868
    p000342  +0.182922
    p000343  +0.185787
    p000344  +0.055473
    p000345  +0.063433
    p000346  +0.190646
    p000347  +0.055926
    p000348  +0.000529
    p000349  +0.008550
    p000350  +0.023505
    p000351  +0.189950
    p000352  +0.057896
    p000353  -0.005612
    p000354  -0.035302
    p000355  -0.023097
    p000356  -0.009148
    p000357  +0.009652
    p000358  +0.421375
    p000359  +0.342040
    p000360  +0.192915
    p000361  +0.221161
    p000362  +0.265239
    p000363  +0.147384
    p000364  +0.087827
    p000365  +0.119700
    p000366  +0.111673
    p000367  +0.205017
    p000368  +0.091773
    p000369  +0.048976
    p000370  +0.033831
    p000371  +0.074554
    p000372  +0.055200
    p000373  +0.091537
    p000374  +0.110249
    p000375  +0.087733
    p000376  +0.124035
    p000377  +0.092132
    p000378  -0.041744
    p000379  -0.020039
    p000380  -0.076067
    p000381  -0.111471
    p000382  +0.064735
    p000383  +0.024773
    p000384  +0.029937
    p000385  -0.064220
    p000386  -0.106739
    p000387  +0.221567
    p000388  +0.205748
    p000389  +0.361988
    p000390  +0.412541
    p000391  +0.453136
    p000392  +0.221329
    p000393  +0.232060
    p000394  +0.068050
    p000395  +0.462311
    p000396  +0.008352
    p000397  -0.028627
    p000398  -0.120268
    p000399  -0.039774
    p000400  -0.128443
    p000401  -0.140125
    p000402  -0.127534
    p000403  -0.043482
    p000404  -0.062191
    p000405  +0.017260
    p000406  -0.026703
    p000407  -0.091130
    p000408  -0.107628
    p000409  -0.149738
    p000410  -0.044700
    p000411  -0.044172
    p000412  -0.098023
    p000413  -0.139231
    p000414  -0.138341
    p000415  -0.055536
    p000416  -0.143108
    p000417  -0.076890
    p000418  +0.121218
    p000419  +0.092289
    p000420  +0.108835
    p000421  +0.096637
    p000422  +0.100796
    p000423  +0.105885
    p000424  +0.074958
    p000425  +0.090480
    p000426  +0.269809
    p000427  +0.218303
    p000428  +0.721103
    p000429  +0.647358
    p000430  +0.165607
    p000431  +0.124525
    p000432  +0.499504
    p000433  +0.437792
    p000434  +0.046276
    p000435  +0.018667
    p000436  +0.055995
    p000437  +0.134320
    p000438  +0.116343
    p000439  +0.072862
    p000440  +0.055003
    p000441  +0.126348
    p000442  +0.103848
    p000443  +0.184830
    p000444  +0.275024
    p000445  +0.223359
    p000446  +0.176216
    p000447  +0.107262
    p000448  +0.218749
    p000449  +0.216701
    p000450  +0.858031
    p000451  +0.855443
    p000452  +0.853878
    p000453  +0.744588
    p000454  +0.738251
    p000455  +0.754668
    p000456  +0.827143
    p000457  +0.746101
    p000458  +0.659442
    p000459  +0.638343
    p000460  +0.576535
    p000461  +0.534460
    p000462  +0.619698
    p000463  +0.650738
    p000464  +0.504747
    p000465  +0.543186
    p000466  +0.925791
    p000467  +0.905812
    p000468  +0.908172
    p000469  +0.872298
    p000470  +0.910491
    p000471  +0.914265
    p000472  +0.872582
    p000473  +0.807283
    p000474  +0.724885
    p000475  +0.809459
    p000476  +0.632697
    p000477  +0.725001
    p000478  +0.867051
    p000479  +0.884430
    p000480  +0.801998
    p000481  +0.849385
    p000482  +0.807807
    p000483  +0.864503
    p000484  +0.830059
    p000485  +0.946290
    p000486  +1.001497
    p000487  +1.105333
    p000488  +0.862941
    p000489  +0.913306
    p000490  +0.895079
    p000491  +0.945277
    p000492  +0.883542
