# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 12
n_points  = 223

[ECHELLE 01]
  t             = 0.416626
  n_valid       = 223/223
  mean(angle°)  = 7.6310
  std(angle°)   = 4.6787
  valeurs (degrés) :
    p000042   10.5704°
    p000043   16.7201°
    p000044    4.8178°
    p000045    4.3439°
    p000046    7.5156°
    p000047    3.3246°
    p000048    5.3114°
    p000049   10.0208°
    p000050   18.3514°
    p000051    4.5333°
    p000052   26.7979°
    p000053   15.9176°
    p000054    4.6361°
    p000055    6.4780°
    p000056    4.6870°
    p000057    5.1841°
    p000058    4.2187°
    p000059    8.3897°
    p000060   19.5660°
    p000061    6.3416°
    p000062   20.6388°
    p000063    5.8134°
    p000064    7.1321°
    p000065    9.7657°
    p000066   16.0918°
    p000067    9.1061°
    p000068    9.7655°
    p000069    8.2547°
    p000070    9.1540°
    p000071   18.5826°
    p000072    3.3780°
    p000073   12.1866°
    p000074    5.8842°
    p000075   14.3800°
    p000076    3.2477°
    p000077    2.6958°
    p000078    4.3142°
    p000079    7.7664°
    p000080   12.6317°
    p000081    5.7214°
    p000082    3.3550°
    p000083   10.9239°
    p000084    6.4502°
    p000085    9.8725°
    p000086    3.7941°
    p000087    8.1111°
    p000088    4.1660°
    p000089    8.3614°
    p000090    3.4556°
    p000091    8.1125°
    p000092   16.4630°
    p000093    9.2229°
    p000094   14.5055°
    p000095    6.7235°
    p000096   11.1954°
    p000097    8.3983°
    p000098    8.7839°
    p000099   11.5034°
    p000100    2.5146°
    p000101   11.0500°
    p000102    9.1245°
    p000103    6.7828°
    p000104   13.4254°
    p000105   14.8402°
    p000106    1.6262°
    p000107   45.1577°
    p000108   16.2429°
    p000109    0.6099°
    p000110    5.2280°
    p000111    6.2323°
    p000112    9.0006°
    p000113    3.2395°
    p000114    8.7856°
    p000115    3.1423°
    p000116    6.2513°
    p000117    6.7126°
    p000118    2.7335°
    p000119   12.5039°
    p000120    5.6774°
    p000121    3.6375°
    p000122    4.9106°
    p000123    5.8089°
    p000124    8.9799°
    p000125   15.4649°
    p000126    9.4821°
    p000127   14.9340°
    p000128    5.8106°
    p000129    8.6177°
    p000130    4.8928°
    p000131   13.2329°
    p000132    1.8280°
    p000133    7.5747°
    p000134    5.3062°
    p000135    3.0082°
    p000136    4.7535°
    p000137    5.4130°
    p000138   10.5679°
    p000139    3.7318°
    p000140    1.7658°
    p000141    8.4669°
    p000142    6.2603°
    p000143    8.0319°
    p000144    5.7505°
    p000145    6.8833°
    p000146    6.0617°
    p000147    2.0693°
    p000148   12.3629°
    p000149    6.7196°
    p000150    9.0869°
    p000151   10.4881°
    p000152    5.1427°
    p000153    5.3210°
    p000154   17.7879°
    p000155    1.8261°
    p000156    8.3638°
    p000157    9.2500°
    p000158    6.2732°
    p000159    8.3648°
    p000160   16.6155°
    p000161   18.7266°
    p000162    4.8624°
    p000163    6.6659°
    p000164   14.0610°
    p000165    7.6464°
    p000166    6.1291°
    p000167    5.3237°
    p000168    8.0061°
    p000169   13.0681°
    p000170   10.6408°
    p000171   19.7897°
    p000172    9.6879°
    p000173   10.9624°
    p000174    9.9698°
    p000175    4.8416°
    p000176   10.2427°
    p000177    8.6074°
    p000178    8.3137°
    p000179    2.6175°
    p000180    3.9255°
    p000181    5.6755°
    p000182    4.5753°
    p000183    3.3248°
    p000184   12.2132°
    p000185    3.1864°
    p000186   15.0809°
    p000187    7.6625°
    p000188    9.6291°
    p000189    4.8428°
    p000190    7.8953°
    p000191    6.0512°
    p000192    3.1940°
    p000193    6.6626°
    p000194    3.8055°
    p000195   20.6248°
    p000196   13.0018°
    p000197    9.3186°
    p000198   10.3707°
    p000199   14.4800°
    p000200    5.9927°
    p000201    6.0902°
    p000202    2.9601°
    p000203    4.3460°
    p000204    3.4910°
    p000205    9.0496°
    p000206    4.3775°
    p000207    6.0173°
    p000208    7.5405°
    p000209   11.4152°
