# KAPPA — courbure signée (κ)
# Mellado et al. (2012) Eq. 4 : κ = 2·ûq
# κ > 0 : convexe   κ = 0 : plan local   κ < 0 : concave
#
n_scales  = 12
n_points  = 17378

[ECHELLE 01]
  t           = 0.251312
  n_valid     = 16890/17378
  mean(kappa) = +0.133472
  std(kappa)  = 0.207631
  convexe     : 14216  (84.2%)
  concave     : 2674  (15.8%)
  plan (~0)   : 7  (0.0%)
  valeurs :
    p000270  +0.077160
    p000271  +0.077277
    p000272  +0.074582
    p000273  +0.220798
    p000274  +0.162223
    p000275  +0.163084
    p000276  +0.224642
    p000277  +0.076027
    p000278  +0.064452
    p000279  +0.095242
    p000280  +0.101645
    p000281  +0.097595
    p000282  +0.103734
    p000283  +0.109371
    p000284  +0.107525
    p000285  -0.110608
    p000286  -0.076527
    p000287  -0.103740
    p000288  -0.069476
    p000289  -0.035655
    p000290  -0.042614
    p000291  +0.090500
    p000292  +0.079929
    p000293  +0.093475
    p000294  +0.083049
    p000295  +0.083252
    p000296  +0.080161
    p000297  +0.066749
    p000298  +0.171891
    p000299  +0.138094
    p000300  +0.022461
    p000301  +0.249435
    p000302  +0.222992
    p000303  +0.100412
    p000304  +0.106265
    p000305  +0.103110
    p000306  +0.108663
    p000307  +0.113725
    p000308  +0.111595
    p000309  -0.096680
    p000310  -0.061733
    p000311  -0.088893
    p000312  -0.053750
    p000313  -0.020206
    p000314  -0.028076
    p000315  +0.095992
    p000316  +0.086252
    p000317  +0.099347
    p000318  +0.089833
    p000319  +0.090120
    p000320  +0.086564
    p000321  +0.232441
    p000322  +0.161655
    p000323  +0.162505
    p000324  +0.237507
    p000325  +0.062838
    p000326  +0.050003
    p000327  +0.106323
    p000328  +0.111545
    p000329  +0.109471
    p000330  +0.114345
    p000331  +0.118727
    p000332  +0.116260
    p000333  -0.080821
    p000334  -0.044977
    p000335  -0.071982
    p000336  -0.035877
    p000337  -0.002623
    p000338  -0.011630
    p000339  +0.102347
    p000340  +0.093550
    p000341  +0.106192
    p000342  +0.097682
    p000343  +0.098042
    p000344  +0.093937
    p000345  +0.048693
    p000346  +0.169203
    p000347  +0.129692
    p000348  -0.000024
    p000349  +0.264989
    p000350  +0.230965
    p000351  +0.113198
    p000352  +0.117683
    p000353  +0.116890
    p000354  +0.120975
    p000355  +0.124592
    p000356  +0.121675
    p000357  -0.062867
    p000358  -0.025927
    p000359  -0.053788
    p000360  -0.015987
    p000361  +0.017252
    p000362  +0.007082
    p000363  +0.109712
    p000364  +0.102006
    p000365  +0.114115
    p000366  +0.106790
    p000367  +0.107182
    p000368  +0.102454
    p000369  +0.246692
    p000370  +0.160933
    p000371  +0.161753
    p000372  +0.252925
    p000373  +0.046475
    p000374  +0.032511
    p000375  +0.121155
    p000376  +0.124787
    p000377  +0.125190
    p000378  +0.128242
    p000379  +0.130926
    p000380  +0.127936
    p000381  -0.058935
    p000382  -0.017133
    p000383  -0.116782
    p000384  -0.075970
    p000385  -0.050539
    p000386  +0.014045
    p000387  +0.118270
    p000388  +0.111919
    p000389  +0.123261
    p000390  +0.117307
    p000391  +0.117482
    p000392  +0.112017
    p000393  +0.025037
    p000394  +0.165089
    p000395  +0.118470
    p000396  -0.028799
    p000397  +0.283564
    p000398  +0.239648
    p000399  +0.129290
    p000400  +0.133514
    p000401  +0.123860
    p000402  +0.085405
    p000403  +0.110038
    p000404  +0.123821
    p000405  -0.149091
    p000406  -0.111343
    p000407  -0.165697
    p000408  -0.128494
    p000409  -0.101326
    p000410  -0.084986
    p000411  +0.103542
    p000412  +0.048536
    p000413  +0.045159
    p000414  +0.099861
    p000415  +0.011887
    p000416  +0.003149
    p000417  -0.047496
    p000418  +0.024971
    p000419  +0.264609
    p000420  +0.159772
    p000421  +0.160144
    p000422  +0.271587
    p000423  +0.025434
    p000424  +0.010003
    p000425  +0.114351
    p000426  +0.129496
    p000427  +0.135940
    p000428  +0.143012
    p000429  +0.146694
    p000430  +0.138381
    p000431  -0.168567
    p000432  -0.076010
    p000433  -0.020573
    p000434  -0.102431
    p000435  -0.029517
    p000436  +0.036038
    p000437  +0.086181
    p000438  +0.038171
    p000439  -0.022706
    p000440  +0.130669
    p000441  +0.088576
    p000442  +0.142096
    p000443  +0.117406
    p000444  +0.095479
    p000445  +0.056612
    p000446  -0.006410
    p000447  +0.158000
    p000448  +0.102406
    p000449  -0.065719
    p000450  +0.305819
    p000451  +0.248183
    p000452  +0.146814
    p000453  +0.151901
    p000454  +0.157255
    p000455  +0.160605
    p000456  +0.161192
    p000457  +0.153975
    p000458  -0.016123
    p000459  +0.052980
    p000460  -0.002771
    p000461  +0.068886
    p000462  +0.117754
    p000463  +0.102389
    p000464  +0.150774
    p000465  +0.130538
    p000466  +0.160311
    p000467  +0.144102
    p000468  +0.125671
    p000469  +0.110403
    p000470  +0.288119
    p000471  +0.158115
    p000472  +0.157636
    p000473  +0.294858
    p000474  -0.002675
    p000475  -0.019037
    p000476  +0.169116
    p000477  +0.170610
    p000478  +0.181376
    p000479  +0.180943
    p000480  +0.178166
    p000481  +0.169541
    p000482  +0.013251
    p000483  +0.086542
    p000484  +0.029075
    p000485  +0.104746
    p000486  +0.152066
    p000487  +0.134485
    p000488  +0.170338
    p000489  +0.158313
    p000490  +0.181535
    p000491  +0.173906
    p000492  +0.159130
    p000493  +0.141706
    p000494  -0.051856
    p000495  +0.144742
    p000496  +0.077560
    p000497  -0.116151
    p000498  +0.333197
    p000499  +0.255164
    p000500  +0.195321
    p000501  +0.192726
    p000502  +0.210294
    p000503  +0.205403
    p000504  +0.198571
    p000505  +0.187996
    p000506  +0.047711
    p000507  +0.124968
    p000508  +0.067992
    p000509  +0.145263
    p000510  +0.191254
    p000511  +0.171302
    p000512  +0.193460
    p000513  +0.190533
    p000514  +0.206938
    p000515  +0.208948
    p000516  +0.197537
    p000517  +0.177659
    p000518  +0.320718
    p000519  +0.155434
    p000520  +0.153029
    p000521  +0.324335
    p000522  -0.043419
    p000523  -0.059214
    p000524  +0.240372
    p000525  +0.226784
    p000526  +0.287903
    p000527  +0.259340
    p000528  +0.238335
    p000529  +0.213583
    p000530  +0.171665
    p000531  +0.221559
    p000532  +0.330304
    p000533  +0.360583
    p000534  +0.347608
    p000535  +0.252325
    p000536  +0.225319
    p000537  +0.247694
    p000538  +0.264010
    p000539  +0.313337
    p000540  +0.340106
    p000541  +0.253975
    p000542  -0.122137
    p000543  +0.118630
    p000544  +0.037203
    p000545  -0.187392
    p000546  +0.365566
    p000547  +0.255391
    p000548  +0.246504
    p000549  +0.235517
    p000550  +0.248372
    p000551  +0.239994
    p000552  +0.230857
    p000553  +0.224256
    p000554  +0.352474
    p000555  +0.325118
    p000556  +0.371029
    p000557  +0.396437
    p000558  +0.279377
    p000559  +0.323404
    p000560  +0.350279
    p000561  +0.390388
    p000562  +0.410932
    p000563  +0.414625
    p000564  +0.363844
    p000565  +0.330627
    p000566  +0.356710
    p000567  +0.273345
    p000568  +0.262001
    p000569  +0.369955
    p000570  +0.150428
    p000571  +0.143779
    p000572  +0.361914
    p000573  -0.107830
    p000574  -0.117046
    p000575  +0.262620
    p000576  +0.252247
    p000577  +0.278067
    p000578  +0.266164
    p000579  +0.253548
    p000580  +0.241184
    p000581  +0.254107
    p000582  +0.301304
    p000583  +0.282119
    p000584  +0.330155
    p000585  +0.356281
    p000586  +0.328077
    p000587  +0.256159
    p000588  +0.272867
    p000589  +0.284383
    p000590  +0.267070
    p000591  +0.289939
    p000592  +0.303775
    p000593  +0.298178
    p000594  +0.281216
    p000595  -0.244786
    p000596  +0.058960
    p000597  -0.034470
    p000598  -0.292732
    p000599  +0.397062
    p000600  +0.232960
    p000601  +0.295027
    p000602  +0.281551
    p000603  +0.312212
    p000604  +0.297215
    p000605  +0.281240
    p000606  +0.267263
    p000607  +0.309501
    p000608  +0.357891
    p000609  +0.337374
    p000610  +0.385560
    p000611  +0.410546
    p000612  +0.383367
    p000613  +0.309099
    p000614  +0.324180
    p000615  +0.327996
    p000616  +0.345221
    p000617  +0.336630
    p000618  +0.317037
    p000619  +0.450294
    p000620  +0.137733
    p000621  +0.122187
    p000622  +0.402586
    p000623  -0.223771
    p000624  -0.199118
    p000625  +0.330500
    p000626  +0.313816
    p000627  +0.348553
    p000628  +0.330294
    p000629  +0.310974
    p000630  +0.296130
    p000631  +0.364780
    p000632  +0.413163
