# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 12
n_points  = 17378

[ECHELLE 01]
  t             = 0.251312
  n_valid       = 16890/17378
  mean(angle°)  = 20.6075
  std(angle°)   = 13.2625
  valeurs (degrés) :
    p000272    0.0756°
    p000273   19.8262°
    p000274    0.3967°
    p000275    0.1830°
    p000276   21.9830°
    p000277   20.7475°
    p000278   23.1775°
    p000279    7.2308°
    p000280    9.8390°
    p000281    7.2356°
    p000282    9.8384°
    p000283    9.3544°
    p000284   10.4583°
    p000285    0.4884°
    p000286   19.1783°
    p000287    0.3603°
    p000288   19.1522°
    p000289   27.5498°
    p000290   29.4490°
    p000291    5.2731°
    p000292    0.1294°
    p000293    5.4068°
    p000294    0.1555°
    p000295    0.0951°
    p000296    0.0881°
    p000297   19.7223°
    p000298    3.6332°
    p000299    3.5138°
    p000300   25.1383°
    p000301   27.2900°
    p000302   19.6437°
    p000303    7.2356°
    p000304    9.8486°
    p000305    7.2252°
    p000306    9.8348°
    p000307    9.3518°
    p000308   10.4670°
    p000309    0.4870°
    p000310   19.1162°
    p000311    0.3630°
    p000312   19.1157°
    p000313   27.4921°
    p000314   29.4440°
    p000315    5.2630°
    p000316    0.1206°
    p000317    5.3899°
    p000318    0.1472°
    p000319    0.1106°
    p000320    0.1026°
    p000321   19.7814°
    p000322    0.3966°
    p000323    0.1698°
    p000324   21.8629°
    p000325   20.7511°
    p000326   23.2012°
    p000327    7.2091°
    p000328    9.8305°
    p000329    7.2085°
    p000330    9.8269°
    p000331    9.3438°
    p000332   10.4598°
    p000333    0.4946°
    p000334   19.0840°
    p000335    0.3540°
    p000336   19.0374°
    p000337   27.5128°
    p000338   29.4378°
    p000339    5.2499°
    p000340    0.1119°
    p000341    5.3926°
    p000342    0.1375°
    p000343    0.1285°
    p000344    0.1192°
    p000345   19.7024°
    p000346    3.6068°
    p000347    3.5468°
    p000348   25.1078°
    p000349   27.3365°
    p000350   19.6755°
    p000351    7.1969°
    p000352    9.8243°
    p000353    7.2060°
    p000354    9.8301°
    p000355    9.3728°
    p000356   10.4589°
    p000357    0.4775°
    p000358   19.0236°
    p000359    0.1867°
    p000360   19.0166°
    p000361   27.6899°
    p000362   29.4098°
    p000363    5.2302°
    p000364    0.1016°
    p000365    5.3744°
    p000366    0.1273°
    p000367    0.1486°
    p000368    0.1385°
    p000369   19.8012°
    p000370    0.3806°
    p000371    0.1844°
    p000372   21.9296°
    p000373   20.7042°
    p000374   23.1218°
    p000375    7.0920°
    p000376    9.7234°
    p000377    6.7180°
    p000378    9.3477°
    p000379    8.5103°
    p000380   10.3535°
    p000381    2.5580°
    p000382   17.9705°
    p000383   13.3140°
    p000384   23.7111°
    p000385   29.8354°
    p000386   28.4180°
    p000387    5.1257°
    p000388    0.0835°
    p000389    5.0785°
    p000390    0.1837°
    p000391    0.2968°
    p000392    0.1977°
    p000393   19.7460°
    p000394    3.6256°
    p000395    3.5295°
    p000396   25.1361°
    p000397   27.3605°
    p000398   19.7271°
    p000399    7.9674°
    p000400    7.3388°
    p000401    5.5024°
    p000402    9.0640°
    p000403    3.4389°
    p000404    2.4095°
    p000405   15.9761°
    p000406   28.1380°
    p000407   14.6217°
    p000408   23.9854°
    p000409   28.5766°
    p000410   33.4404°
    p000411    5.2048°
    p000412   21.7903°
    p000413   16.8296°
    p000414    5.1816°
    p000415   22.4565°
    p000416   16.4740°
    p000417   26.6343°
    p000418   16.6543°
