# ETA — angle entre η (normale GLS) et n_i (normale surface)
# Mellado et al. (2012) Eq. 4 : η = ∇s_û(p) / ||∇s_û(p)||
# Valeurs en DEGRÉS.  0° = aligné parfaitement  180° = opposé
#
n_scales  = 15
n_points  = 10000

[ECHELLE 01]
  t             = 0.171968
  n_valid       = 10000/10000
  mean(angle°)  = 78.4819
  std(angle°)   = 43.5742
  valeurs (degrés) :
    p000272   31.1096°
    p000273   28.7687°
    p000274   90.0000°
    p000275   90.0000°
    p000276   90.0000°
    p000277   90.0000°
    p000278   90.0000°
    p000279   90.0000°
    p000280   90.0000°
    p000281  156.9698°
    p000282    3.8671°
    p000283  130.9550°
    p000284   61.2021°
    p000285  126.4861°
    p000286   23.4450°
    p000287   77.7714°
    p000288  144.6974°
    p000289  106.3078°
    p000290  168.3580°
    p000291    6.4245°
    p000292   19.8502°
    p000293   56.0559°
    p000294  173.2124°
    p000295    6.9212°
    p000296   90.0000°
    p000297   90.0000°
    p000298   90.0000°
    p000299   90.0000°
    p000300   90.0000°
    p000301   90.0000°
    p000302   90.0000°
    p000303   90.0000°
    p000304   30.5254°
    p000305   67.5318°
    p000306   96.7103°
    p000307   49.9840°
    p000308   15.8569°
    p000309   50.8002°
    p000310  106.6022°
    p000311    8.4706°
    p000312    5.8783°
    p000313    9.3800°
    p000314   43.5838°
    p000315   14.3483°
    p000316   11.0043°
    p000317  130.6329°
    p000318   78.8915°
    p000319   15.1121°
    p000320   73.3185°
    p000321   25.2608°
    p000322   98.6231°
    p000323   43.3008°
    p000324    6.3647°
    p000325   12.8303°
    p000326   30.3885°
    p000327  103.7241°
    p000328    8.6909°
    p000329   24.8088°
    p000330   23.8187°
    p000331   90.0000°
    p000332   90.0000°
    p000333   90.0000°
    p000334   90.0000°
    p000335   90.0000°
    p000336   90.0000°
    p000337   90.0000°
    p000338   90.0000°
    p000339   94.0241°
    p000340   28.4732°
    p000341   32.3411°
    p000342  174.6602°
    p000343  102.7657°
    p000344   87.5766°
    p000345    6.3407°
    p000346   11.8542°
    p000347   18.7464°
    p000348  151.4323°
    p000349    2.6703°
    p000350  161.4118°
    p000351   28.8604°
    p000352  130.6420°
    p000353   90.0000°
    p000354   90.0000°
    p000355   90.0000°
    p000356   90.0000°
    p000357   90.0000°
    p000358   90.0000°
    p000359   90.0000°
    p000360   38.5571°
    p000361  149.9571°
    p000362    9.7382°
    p000363   74.9820°
    p000364  159.8782°
    p000365   45.6638°
    p000366    6.5998°
    p000367   90.0000°
    p000368   90.0000°
    p000369   90.0000°
    p000370   90.0000°
    p000371   90.0000°
    p000372   53.0737°
    p000373   79.1151°
    p000374   20.3555°
    p000375   39.3522°
    p000376  173.2557°
    p000377   87.2717°
    p000378   23.5588°
    p000379   19.3500°
    p000380   56.2876°
    p000381  153.6655°
    p000382   27.8243°
    p000383  177.9742°
    p000384   36.8873°
    p000385   71.4290°
    p000386  144.7168°
    p000387  163.8137°
    p000388   90.0000°
    p000389   90.0000°
    p000390   90.0000°
    p000391   90.0000°
    p000392   90.0000°
    p000393   90.0000°
    p000394   90.0000°
    p000395   90.0000°
    p000396   90.0000°
    p000397    9.7846°
    p000398   14.5815°
    p000399   27.3913°
    p000400   12.0989°
    p000401    8.2935°
    p000402   17.2204°
    p000403  172.6700°
    p000404   13.8463°
    p000405  155.4307°
    p000406   47.5263°
    p000407   51.8528°
    p000408   22.7695°
    p000409   91.1639°
    p000410  165.8998°
    p000411  150.3069°
    p000412   90.0000°
    p000413   90.0000°
    p000414   90.0000°
    p000415   37.0422°
    p000416   23.4906°
    p000417   12.8754°
    p000418   39.9805°
    p000419   11.6988°
